# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_structural_interaction_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABHD12B	ENSG00000131969	ENST00000556857	processed_transcript	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABHD12B	ENSG00000131969	ENST00000557345	nonsense_mediated_decay	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ABHD17AP3	ENSG00000250536	ENST00000503096	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABHD2	ENSG00000140526	ENST00000352732	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD2	ENSG00000140526	ENST00000355100	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD2	ENSG00000140526	ENST00000562073	processed_transcript	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD2	ENSG00000140526	ENST00000565066	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD2	ENSG00000140526	ENST00000565973	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD2	ENSG00000140526	ENST00000569411	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD6	ENSG00000163686	ENST00000295962	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD6	ENSG00000163686	ENST00000463756	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD6	ENSG00000163686	ENST00000475982	nonsense_mediated_decay	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD6	ENSG00000163686	ENST00000478253	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABHD6	ENSG00000163686	ENST00000485900	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABL1	ENSG00000097007	ENST00000372348	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ABL1	ENSG00000097007	ENST00000393293	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ABL2	ENSG00000143322	ENST00000367623	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000392043	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000502732	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000507173	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABL2	ENSG00000143322	ENST00000511413	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABR	ENSG00000159842	ENST00000574139	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABR	ENSG00000159842	ENST00000575934	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC002066.1	ENSG00000237813	ENST00000439070	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC002066.1	ENSG00000237813	ENST00000446355	antisense	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC002116.7	ENSG00000267698	ENST00000586962	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC002116.8	ENSG00000248101	ENST00000473572	retained_intron	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC002383.2	ENSG00000227863	ENST00000448260	lincRNA	0	0	0	5	0	0	0	1	4	0	0	0	0	0	0	0	0	0
AC002477.1	ENSG00000264392	ENST00000581061	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC002542.2	ENSG00000227532	ENST00000440683	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC002550.5	ENSG00000261312	ENST00000565916	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC002979.1	ENSG00000221386	ENST00000408459	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC002985.3	ENSG00000268193	ENST00000593484	nonsense_mediated_decay	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
AC002985.3	ENSG00000268193	ENST00000596918	nonsense_mediated_decay	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
AC002992.1	ENSG00000252586	ENST00000516777	miRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC003075.4	ENSG00000237773	ENST00000415246	antisense	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC003075.4	ENSG00000237773	ENST00000419382	antisense	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC003075.4	ENSG00000237773	ENST00000424101	antisense	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC003075.4	ENSG00000237773	ENST00000433005	antisense	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC003075.4	ENSG00000237773	ENST00000448664	antisense	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC003075.4	ENSG00000237773	ENST00000452249	antisense	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC003088.1	ENSG00000226965	ENST00000435466	lincRNA	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC003666.1	ENSG00000222133	ENST00000410201	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC003973.1	ENSG00000269615	ENST00000601468	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004014.3	ENSG00000229603	ENST00000413406	lincRNA	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC004019.18	ENSG00000272675	ENST00000608960	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC004041.2	ENSG00000223442	ENST00000417516	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004041.2	ENSG00000223442	ENST00000435042	antisense	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC004041.2	ENSG00000223442	ENST00000458509	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004166.6	ENSG00000184616	ENST00000333385	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004166.6	ENSG00000184616	ENST00000424157	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004386.3	ENSG00000226515	ENST00000441858	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004460.1	ENSG00000221379	ENST00000408452	miRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC004552.1	ENSG00000264746	ENST00000584512	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004840.8	ENSG00000230914	ENST00000443103	lincRNA	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AC004895.1	ENSG00000264605	ENST00000577644	miRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC004895.4	ENSG00000231704	ENST00000428901	lincRNA	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC004895.4	ENSG00000231704	ENST00000435547	lincRNA	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC004895.4	ENSG00000231704	ENST00000436915	lincRNA	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC004951.5	ENSG00000239556	ENST00000420754	transcribed_unprocessed_pseudogene	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AC004951.6	ENSG00000228434	ENST00000447643	lincRNA	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1
AC004987.10	ENSG00000231198	ENST00000428627	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004987.9	ENSG00000233225	ENST00000395959	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC004987.9	ENSG00000233225	ENST00000457532	pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC005013.1	ENSG00000255690	ENST00000539664	pseudogene	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC005013.5	ENSG00000228421	ENST00000436594	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC005022.1	ENSG00000224017	ENST00000440213	lincRNA	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC005037.1	ENSG00000224346	ENST00000457832	processed_pseudogene	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0
AC005037.2	ENSG00000221530	ENST00000408603	miRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
AC005162.5	ENSG00000233517	ENST00000411479	antisense	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC005276.1	ENSG00000197462	ENST00000411856	lincRNA	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC005280.1	ENSG00000170468	ENST00000304061	pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC005301.8	ENSG00000235343	ENST00000422917	lincRNA	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
AC005307.1	ENSG00000260725	ENST00000567877	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC005307.3	ENSG00000267243	ENST00000592347	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC005392.13	ENSG00000227606	ENST00000419624	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC005484.5	ENSG00000259114	ENST00000492026	processed_transcript	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC005487.2	ENSG00000225647	ENST00000440208	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC005493.1	ENSG00000214841	ENST00000399077	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC005523.2	ENSG00000269604	ENST00000596170	antisense	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC005523.2	ENSG00000269604	ENST00000601192	antisense	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC005523.3	ENSG00000268536	ENST00000598782	lincRNA	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0
AC005538.5	ENSG00000237581	ENST00000455991	antisense	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC005562.1	ENSG00000214719	ENST00000398849	processed_transcript	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC005562.1	ENSG00000214719	ENST00000431308	processed_transcript	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC005562.1	ENSG00000214719	ENST00000440026	processed_transcript	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC005562.1	ENSG00000214719	ENST00000578265	processed_transcript	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC005592.2	ENSG00000231185	ENST00000425963	antisense	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC005592.2	ENSG00000231185	ENST00000443800	antisense	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC005682.5	ENSG00000228649	ENST00000415611	lincRNA	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AC005682.5	ENSG00000228649	ENST00000422542	lincRNA	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AC005682.6	ENSG00000226329	ENST00000452069	unprocessed_pseudogene	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AC005686.1	ENSG00000265985	ENST00000584326	miRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC005740.4	ENSG00000250347	ENST00000511085	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC005757.7	ENSG00000267037	ENST00000589594	lincRNA	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC005779.2	ENSG00000267545	ENST00000593083	nonsense_mediated_decay	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC005932.1	ENSG00000269019	ENST00000601106	antisense	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC006003.3	ENSG00000231515	ENST00000448541	sense_intronic	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
AC006014.7	ENSG00000242073	ENST00000415277	transcribed_unprocessed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC006019.3	ENSG00000203335	ENST00000425591	antisense	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC006023.8	ENSG00000248711	ENST00000506556	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC006111.1	ENSG00000178430	ENST00000323601	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC006126.3	ENSG00000266958	ENST00000591569	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC006129.2	ENSG00000268027	ENST00000595395	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC006129.2	ENSG00000268027	ENST00000595649	lincRNA	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC006129.2	ENSG00000268027	ENST00000601116	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AC006156.1	ENSG00000225516	ENST00000423213	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC006156.1	ENSG00000225516	ENST00000450145	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC006227.1	ENSG00000229457	ENST00000443123	lincRNA	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC006227.1	ENSG00000229457	ENST00000455614	lincRNA	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AC006432.1	ENSG00000266633	ENST00000580721	miRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC006509.4	ENSG00000224443	ENST00000419124	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
