# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_upstream_gene_variant
ACACB	ENSG00000076555	ENST00000546328	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ACAD11	ENSG00000240303	ENST00000264990	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ACAD11	ENSG00000240303	ENST00000355458	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ACAD11	ENSG00000240303	ENST00000469042	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ACAD11	ENSG00000240303	ENST00000477604	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ACAD11	ENSG00000240303	ENST00000485198	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ACAD11	ENSG00000240303	ENST00000487024	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ACAD11	ENSG00000240303	ENST00000496418	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ACAD11	ENSG00000240303	ENST00000507705	processed_transcript	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ACAD11	ENSG00000240303	ENST00000510100	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ACAD11	ENSG00000240303	ENST00000545291	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ADAM12	ENSG00000148848	ENST00000368676	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ADAM12	ENSG00000148848	ENST00000368679	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ADAM12	ENSG00000148848	ENST00000448723	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ADAM29	ENSG00000168594	ENST00000507652	processed_transcript	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ADAM29	ENSG00000168594	ENST00000507969	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ADAMTS3	ENSG00000156140	ENST00000286657	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ADAMTS6	ENSG00000049192	ENST00000314351	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ADAMTS6	ENSG00000049192	ENST00000381052	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ADAMTS6	ENSG00000049192	ENST00000381055	protein_coding	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0
ADAMTS6	ENSG00000049192	ENST00000417396	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ADARB1	ENSG00000197381	ENST00000348831	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ADARB1	ENSG00000197381	ENST00000389861	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ADARB1	ENSG00000197381	ENST00000389863	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ADARB1	ENSG00000197381	ENST00000437626	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ADARB1	ENSG00000197381	ENST00000449478	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ADARB1	ENSG00000197381	ENST00000464215	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ADARB1	ENSG00000197381	ENST00000492414	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ADARB1	ENSG00000197381	ENST00000496664	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ADARB1	ENSG00000197381	ENST00000539173	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AF003626.1	ENSG00000230153	ENST00000424539	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AF003626.1	ENSG00000230153	ENST00000437772	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AFF1	ENSG00000172493	ENST00000395146	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AFF1	ENSG00000172493	ENST00000503477	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AFF1	ENSG00000172493	ENST00000504956	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AFF1	ENSG00000172493	ENST00000507468	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AFF1	ENSG00000172493	ENST00000511442	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AGBL4	ENSG00000186094	ENST00000371836	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
AGBL4	ENSG00000186094	ENST00000371838	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
AGBL4	ENSG00000186094	ENST00000371839	protein_coding	0	2	0	3	0	0	0	0	0	3	0	2	0	0	0
AGBL4	ENSG00000186094	ENST00000497451	processed_transcript	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
AGPAT6	ENSG00000158669	ENST00000396987	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AGPAT6	ENSG00000158669	ENST00000519853	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AGPAT6	ENSG00000158669	ENST00000520223	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AGPAT6	ENSG00000158669	ENST00000520258	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AGPAT6	ENSG00000158669	ENST00000521184	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AHCTF1	ENSG00000153207	ENST00000326225	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AHCTF1	ENSG00000153207	ENST00000366508	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AHCTF1	ENSG00000153207	ENST00000391829	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AHCTF1	ENSG00000153207	ENST00000478568	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AHNAK	ENSG00000124942	ENST00000257247	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AHNAK	ENSG00000124942	ENST00000525875	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AHNAK	ENSG00000124942	ENST00000530124	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AJAP1	ENSG00000196581	ENST00000378190	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AJAP1	ENSG00000196581	ENST00000378191	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AL023583.1	ENSG00000233075	ENST00000455176	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AL049542.1	ENSG00000256323	ENST00000546124	pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AL133247.3	ENSG00000270422	ENST00000603236	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ALG10	ENSG00000139133	ENST00000266483	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ALG10	ENSG00000139133	ENST00000538927	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ALMS1P	ENSG00000163016	ENST00000450720	processed_transcript	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ALPK3	ENSG00000136383	ENST00000258888	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AMMECR1	ENSG00000101935	ENST00000372057	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANK1	ENSG00000029534	ENST00000265709	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANK1	ENSG00000029534	ENST00000289734	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANK1	ENSG00000029534	ENST00000347528	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANK1	ENSG00000029534	ENST00000352337	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANK1	ENSG00000029534	ENST00000379758	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANK1	ENSG00000029534	ENST00000396942	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANK1	ENSG00000029534	ENST00000396945	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANK1	ENSG00000029534	ENST00000520299	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ANKDD1B	ENSG00000189045	ENST00000504514	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKDD1B	ENSG00000189045	ENST00000506596	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKDD1B	ENSG00000189045	ENST00000594319	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKDD1B	ENSG00000189045	ENST00000601380	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKRD20A7P	ENSG00000236816	ENST00000402318	unprocessed_pseudogene	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
ANKRD20A9P	ENSG00000206192	ENST00000457997	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKRD30B	ENSG00000180777	ENST00000579292	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKRD36	ENSG00000135976	ENST00000420699	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKRD36	ENSG00000135976	ENST00000461153	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKRD42	ENSG00000137494	ENST00000260047	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKRD42	ENSG00000137494	ENST00000393389	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ANKRD42	ENSG00000137494	ENST00000393392	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKRD42	ENSG00000137494	ENST00000526731	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ANKRD42	ENSG00000137494	ENST00000528722	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ANKRD42	ENSG00000137494	ENST00000531895	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKRD42	ENSG00000137494	ENST00000533342	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKS1A	ENSG00000064999	ENST00000360359	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKS1A	ENSG00000064999	ENST00000535627	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKS1B	ENSG00000185046	ENST00000329257	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKS1B	ENSG00000185046	ENST00000332712	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKS1B	ENSG00000185046	ENST00000546568	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKS1B	ENSG00000185046	ENST00000546960	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKS1B	ENSG00000185046	ENST00000547010	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKS1B	ENSG00000185046	ENST00000547446	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKS1B	ENSG00000185046	ENST00000547776	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKS1B	ENSG00000185046	ENST00000549025	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKS1B	ENSG00000185046	ENST00000549493	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKS1B	ENSG00000185046	ENST00000549558	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKS1B	ENSG00000185046	ENST00000550693	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKS1B	ENSG00000185046	ENST00000550778	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKS1B	ENSG00000185046	ENST00000552245	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ANKS1B	ENSG00000185046	ENST00000557083	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AP000476.1	ENSG00000237484	ENST00000415182	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AP000476.1	ENSG00000237484	ENST00000453784	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AP000673.1	ENSG00000263371	ENST00000583628	miRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ARFIP1	ENSG00000164144	ENST00000353617	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARFIP1	ENSG00000164144	ENST00000356064	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARFIP1	ENSG00000164144	ENST00000405727	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARFIP1	ENSG00000164144	ENST00000429148	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARFIP1	ENSG00000164144	ENST00000451320	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARFIP1	ENSG00000164144	ENST00000509413	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARFIP1	ENSG00000164144	ENST00000510831	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARHGAP15	ENSG00000075884	ENST00000295095	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARHGAP15	ENSG00000075884	ENST00000460776	processed_transcript	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ARHGAP15	ENSG00000075884	ENST00000469117	processed_transcript	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ARHGAP15	ENSG00000075884	ENST00000474474	processed_transcript	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ARHGAP15	ENSG00000075884	ENST00000548242	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARHGAP15	ENSG00000075884	ENST00000548800	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ARHGAP15	ENSG00000075884	ENST00000548929	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARHGAP15	ENSG00000075884	ENST00000552641	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ARHGAP26	ENSG00000145819	ENST00000274498	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARHGAP26	ENSG00000145819	ENST00000378004	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARHGAP26	ENSG00000145819	ENST00000378013	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARHGAP26-AS1	ENSG00000226272	ENST00000432015	antisense	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARHGAP26-AS1	ENSG00000226272	ENST00000433595	antisense	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARHGAP26-AS1	ENSG00000226272	ENST00000434610	antisense	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARHGAP35	ENSG00000160007	ENST00000404338	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ARHGAP6	ENSG00000047648	ENST00000303025	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARHGAP6	ENSG00000047648	ENST00000337414	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARHGAP6	ENSG00000047648	ENST00000380717	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARHGAP6	ENSG00000047648	ENST00000380718	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ARHGAP6	ENSG00000047648	ENST00000380732	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
